Month,"Crude oil, Brent"
2015-01-01,48.07
2015-02-01,57.93
2015-03-01,55.79
2015-04-01,59.39
2015-05-01,64.56
2015-06-01,62.34
2015-07-01,55.87
2015-08-01,46.99
2015-09-01,47.24
2015-10-01,48.12
2015-11-01,44.42
2015-12-01,37.72
2016-01-01,30.8
2016-02-01,33.2
2016-03-01,39.07
2016-04-01,42.25
2016-05-01,47.13
2016-06-01,48.48
2016-07-01,45.07
2016-08-01,46.14
2016-09-01,46.19
2016-10-01,49.73
2016-11-01,46.44
2016-12-01,54.07
2017-01-01,54.89
2017-02-01,55.49
2017-03-01,51.97
2017-04-01,52.98
2017-05-01,50.87
2017-06-01,46.89
2017-07-01,48.69
2017-08-01,51.37
2017-09-01,55.16
2017-10-01,57.62
2017-11-01,62.57
2017-12-01,64.21
2018-01-01,68.99
2018-02-01,65.42
2018-03-01,66.45
2018-04-01,71.63
2018-05-01,76.65
2018-06-01,75.19
2018-07-01,74.44
2018-08-01,73.13
2018-09-01,78.86
2018-10-01,80.47
2018-11-01,65.17
2018-12-01,56.46
2019-01-01,59.27
2019-02-01,64.13
2019-03-01,66.41
2019-04-01,71.2
2019-05-01,70.53
2019-06-01,63.3
2019-07-01,64.0
2019-08-01,59.25
2019-09-01,62.33
2019-10-01,59.37
2019-11-01,62.74
2019-12-01,65.85
2020-01-01,63.6
2020-02-01,55.0
2020-03-01,32.98
2020-04-01,23.34
2020-05-01,31.02
2020-06-01,39.93
2020-07-01,42.81
2020-08-01,44.26
2020-09-01,41.09
2020-10-01,40.47
2020-11-01,43.23
2020-12-01,49.87
2021-01-01,54.55
2021-02-01,61.96
2021-03-01,65.19
2021-04-01,64.77
2021-05-01,68.04
